dataset_key,imbalance_ratio,training_size,seed,method,generated_count,real_minority_count,real_majority_count,roc_auc,pr_auc,balanced_accuracy,f1,brier,n_samples,n_features,n_numeric_features,n_categorical_features,original_imbalance_ratio,minority_size,preprocessed_dim,missingness_rate,baseline_roc_auc
adult,5.0,512,0,direct_smote,340,85,425,0.8716094405259261,0.6979118843794074,0.744991054819914,0.6152497808939527,0.1391024764675848,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,512,0,direct_displacement,340,85,425,0.8733739763859938,0.70448439744251,0.7538305196064969,0.6223649308948764,0.13789325016742018,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,512,0,latent_smote,340,85,425,0.8731300878766262,0.697277778332732,0.711639777733551,0.5753378942099115,0.13230878428012835,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,512,0,latent_displacement,340,85,425,0.8724983676370504,0.709190939598574,0.7216007612013311,0.5906566481541979,0.13091438720329188,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,1024,0,real_balanced,0,855,855,0.8984568790325789,0.7593637064216228,0.8125215735717841,0.6692768309534777,0.1379402605197522,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,1024,0,direct_smote,684,171,855,0.8811692866951327,0.7222564405539017,0.7516778961399062,0.6283844094019637,0.1295099250984523,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,1024,0,direct_displacement,684,171,855,0.8805547101686424,0.7248192991638098,0.7574697332862999,0.634559252772913,0.12890984726477311,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,1024,0,latent_smote,684,171,855,0.8756869191575671,0.7210683485745099,0.7234858659808909,0.5956247928405701,0.12710946568673195,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,1024,0,latent_displacement,684,171,855,0.8759980647562565,0.7239794278090614,0.7198136954317532,0.5919130139313625,0.12714035962774664,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,2048,0,real_balanced,0,1705,1705,0.908072429475498,0.7850030337305917,0.819576352238516,0.6781967024097775,0.12641749699429206,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,2048,0,direct_smote,1364,341,1705,0.8879245237540474,0.7428814247131551,0.7661737243580587,0.6471271038885664,0.11806040977089872,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,2048,0,direct_displacement,1364,341,1705,0.8884876051722019,0.7440350740979498,0.7772559450430898,0.6573543791032267,0.11733478515105922,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,2048,0,latent_smote,1364,341,1705,0.8893738455820216,0.7444324857580985,0.7193836185219857,0.5925671025464556,0.11557019019423259,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,2048,0,latent_displacement,1364,341,1705,0.8925873194555914,0.750874818380471,0.7291295635348822,0.6084010840108401,0.11389879453345478,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,4096,0,real_balanced,0,3415,3415,0.9176329665107543,0.8036007900940774,0.8280630659376376,0.6902963393375944,0.11953412555634706,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,4096,0,direct_smote,2732,683,3415,0.8974317489591337,0.7668045137653626,0.7819094012591469,0.667805294619983,0.10937149405890681,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,4096,0,direct_displacement,2732,683,3415,0.898157068754631,0.7668423798059427,0.7942302808022501,0.6786252225112968,0.10959819151752298,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
