dataset_key,imbalance_ratio,method,training_size,metric,method_score,real_equivalent_size,real_equivalent_fraction
adult,5.0,direct_smote,1024,roc_auc,0.8841206562244907,369.4084551751105,0.3607504445069438
adult,5.0,latent_displacement,1024,roc_auc,0.8832831039598343,343.38153519164206,0.33533353046058795
adult,5.0,latent_smote,1024,roc_auc,0.8818270065270465,298.1333363979175,0.2911458363260913
adult,5.0,direct_displacement,2048,roc_auc,0.8937132916640461,784.7143309656731,0.38316129441683255
adult,5.0,direct_smote,2048,roc_auc,0.8930669967095841,749.4917774576588,0.3659627819617475
adult,5.0,latent_displacement,2048,roc_auc,0.8953467152210738,873.7345967768936,0.42662822108246756
adult,5.0,latent_smote,2048,roc_auc,0.8957952919883949,898.1816686290529,0.4385652678852797
adult,5.0,direct_displacement,4096,roc_auc,0.903950563979544,1444.3842818108742,0.35263288130148296
adult,5.0,direct_smote,4096,roc_auc,0.9014294555909,1263.1120450635228,0.30837696412683663
adult,5.0,latent_displacement,4096,roc_auc,0.9034736182052109,1410.0910210728612,0.3442605031916165
adult,5.0,latent_smote,4096,roc_auc,0.9043522040750759,1473.2629285253252,0.3596833321595032
adult,10.0,direct_displacement,2048,roc_auc,0.885182936980069,395.6215864045876,0.19317460273661505
adult,10.0,direct_smote,2048,roc_auc,0.881099232877691,310.53668003399304,0.15162923829784816
adult,10.0,latent_displacement,2048,roc_auc,0.8850612409254104,393.08602134974694,0.19193653386218112
adult,10.0,latent_smote,2048,roc_auc,0.8841937127504856,375.01087396227047,0.18311077830188988
adult,10.0,direct_displacement,4096,roc_auc,0.8950031053149553,774.1701811201451,0.18900639187503543
adult,10.0,direct_smote,4096,roc_auc,0.8933160654349429,669.7209552663143,0.163506092594315
adult,10.0,latent_displacement,4096,roc_auc,0.899176367406864,1033.8750527562147,0.25241090155181023
adult,10.0,latent_smote,4096,roc_auc,0.8984492475214925,987.530214821526,0.24109624385291162
bank_marketing,2.0,direct_displacement,512,roc_auc,0.881426817384023,344.4416469192846,0.6727375916392277
bank_marketing,2.0,direct_smote,512,roc_auc,0.881437365852288,344.6105205494773,0.6730674229481979
bank_marketing,2.0,latent_displacement,512,roc_auc,0.8823989836853338,360.00535231494547,0.7031354537401279
bank_marketing,2.0,latent_smote,512,roc_auc,0.8829343750064119,368.5765944793971,0.7198761610925725
bank_marketing,2.0,direct_displacement,1024,roc_auc,0.901157545766542,783.3773959276466,0.7650169882105924
bank_marketing,2.0,direct_smote,1024,roc_auc,0.9016423175926512,797.5775461848184,0.7788843224461117
bank_marketing,2.0,latent_displacement,1024,roc_auc,0.9015844772634212,795.8832617364353,0.7772297477894876
bank_marketing,2.0,latent_smote,1024,roc_auc,0.9028635724247571,833.351081658992,0.8138194156826094
bank_marketing,2.0,direct_displacement,2048,roc_auc,0.9138591905226459,1427.8069064238634,0.6971713410272771
bank_marketing,2.0,direct_smote,2048,roc_auc,0.9138529219441232,1427.2427854839927,0.6968958913496058
bank_marketing,2.0,latent_displacement,2048,roc_auc,0.9145321222955214,1488.3652774817415,0.7267408581453816
bank_marketing,2.0,latent_smote,2048,roc_auc,0.9139089235253938,1432.2824710436773,0.6993566753142956
bank_marketing,2.0,direct_displacement,4096,roc_auc,0.9246382519867554,3013.8458323626733,0.7358022051666683
bank_marketing,2.0,direct_smote,4096,roc_auc,0.9248307049759676,3061.6618008329174,0.747476025593974
bank_marketing,2.0,latent_displacement,4096,roc_auc,0.9248033447219963,3054.864000255303,0.7458164063123298
bank_marketing,2.0,latent_smote,4096,roc_auc,0.9243635998612969,2945.607051427303,0.7191423465398689
bank_marketing,3.0,direct_displacement,512,roc_auc,0.8796973289331753,309.1498178546063,0.6038082379972779
bank_marketing,3.0,direct_smote,512,roc_auc,0.8802873934124632,315.8206558767649,0.6168372185093064
bank_marketing,3.0,latent_displacement,512,roc_auc,0.8768440182477452,276.89237129152934,0.5408054126787682
bank_marketing,3.0,latent_smote,512,roc_auc,0.8779038315351221,288.873846235344,0.5642067309284062
bank_marketing,3.0,direct_displacement,1024,roc_auc,0.8977545125742215,516.4415576008088,0.5043374585945398
bank_marketing,3.0,direct_smote,1024,roc_auc,0.896050716614532,494.0292745328807,0.48245046341101633
bank_marketing,3.0,latent_displacement,1024,roc_auc,0.8977835537437093,517.570975232853,0.505440405500833
bank_marketing,3.0,latent_smote,1024,roc_auc,0.8972992001735737,508.1437177641467,0.4962340993790495
bank_marketing,3.0,direct_displacement,2048,roc_auc,0.9128709726618952,1215.583408373406,0.5935465861198271
bank_marketing,3.0,direct_smote,2048,roc_auc,0.910914823670384,1034.1344754514805,0.5049484743415432
bank_marketing,3.0,latent_displacement,2048,roc_auc,0.9105705595459981,1014.8605151801062,0.4955373609277862
bank_marketing,3.0,latent_smote,2048,roc_auc,0.911183528143287,1059.0590287913171,0.5171186664020103
bank_marketing,3.0,direct_displacement,4096,roc_auc,0.9225409981607786,2222.057721174851,0.5424945608337038
