dataset_key,imbalance_ratio,segment,left_method,right_method,mean_delta,ci_low,ci_high,n,indistinguishable
adult,5.0,mid,latent_smote,direct_smote,-0.00018756821342708063,-0.0010530044715409397,0.000749546522135108,10,True
adult,5.0,mid,latent_displacement,direct_displacement,-3.1600724871294615e-07,-0.0011787082689400296,0.0009687069632030982,10,True
adult,5.0,mid,direct_smote,real_balanced,-0.016443957253098173,-0.0180417934523145,-0.014753452845099845,10,False
adult,5.0,mid,direct_displacement,real_balanced,-0.016135195995201322,-0.01782386950688354,-0.014496666378336725,10,False
adult,5.0,mid,latent_smote,real_balanced,-0.016631525466525254,-0.018566307353204678,-0.01484659105069525,10,False
adult,5.0,mid,latent_displacement,real_balanced,-0.016135512002450038,-0.01807269771916802,-0.014431110493354627,10,False
adult,10.0,early,latent_displacement,latent_smote,0.0031434571581935742,0.0007241698873391231,0.005515128853426867,10,True
adult,10.0,early,direct_displacement,direct_smote,0.0024758010092887804,-0.001189391664808579,0.005624406702787555,10,True
adult,10.0,early,latent_smote,direct_smote,-0.0027020577215001508,-0.006728073661136063,0.0015942514200240545,10,True
adult,10.0,early,latent_displacement,direct_displacement,-0.002034401572595357,-0.006610029169388152,0.0023471854513742764,10,True
adult,10.0,early,direct_smote,real_balanced,-0.03369953050790279,-0.04111032138973494,-0.02777223888538545,10,False
adult,10.0,early,direct_displacement,real_balanced,-0.031223729498614006,-0.037766386802160705,-0.02510446855807203,10,False
adult,10.0,early,latent_smote,real_balanced,-0.03640158822940294,-0.04364641451906691,-0.02974549689350802,10,False
adult,10.0,early,latent_displacement,real_balanced,-0.03325813107120936,-0.039833722151253595,-0.02729486907602198,10,False
adult,10.0,full,latent_displacement,latent_smote,0.0010048874423120413,0.00023657265903063998,0.0016903425896846074,10,True
adult,10.0,full,direct_displacement,direct_smote,0.0024962688968709346,0.0013871299435708362,0.0035736169782838853,10,True
adult,10.0,full,latent_smote,direct_smote,0.002248299629390449,0.0014621937862040256,0.003065742806894638,10,True
adult,10.0,full,latent_displacement,direct_displacement,0.0007569181748315557,-0.0005119434896988187,0.0020136843207507076,10,True
adult,10.0,full,direct_smote,real_balanced,-0.029966618418628778,-0.03152168017305533,-0.028411118977104428,10,False
adult,10.0,full,direct_displacement,real_balanced,-0.027470349521757843,-0.029006617293071534,-0.02597678780269343,10,False
adult,10.0,full,latent_smote,real_balanced,-0.027718318789238326,-0.029148701288889984,-0.02613706448401267,10,False
adult,10.0,full,latent_displacement,real_balanced,-0.026713431346926286,-0.02858931543157813,-0.02510587502808033,10,False
adult,10.0,mid,latent_displacement,latent_smote,0.0009252103725503113,-0.00018139933933243366,0.0018030524419530654,10,True
adult,10.0,mid,direct_displacement,direct_smote,0.0019808760857024433,0.0006022598347895942,0.003402995249545362,10,True
adult,10.0,mid,latent_smote,direct_smote,0.0005859840541633688,-0.0003123990461323145,0.0014697096102776488,10,True
adult,10.0,mid,latent_displacement,direct_displacement,-0.00046968165898876314,-0.0023718822974325426,0.0011575612696261954,10,True
adult,10.0,mid,direct_smote,real_balanced,-0.02942251078360878,-0.03249867121297468,-0.026428390766947082,10,False
adult,10.0,mid,direct_displacement,real_balanced,-0.027441634697906336,-0.030875951361998045,-0.023966995141062264,10,False
adult,10.0,mid,latent_smote,real_balanced,-0.02883652672944541,-0.03198669051779352,-0.02573445343382005,10,False
